Date,Filename,Total,Additions,Deletions
2019-10-01,mvnw.cmd,39,30,9
2019-10-01,application-h2.bash,2,1,1
2019-10-01,application-h2.cmd,2,1,1
2019-10-01,application.bash,2,1,1
2019-10-01,application.cmd,2,1,1
2019-10-01,Globals.kt,22,11,11
2019-10-01,gradle-wrapper.properties,2,1,1
2019-10-01,head.hbs,2,1,1
2019-10-01,application-h2.bash,2,1,1
2019-10-01,application-h2.cmd,2,1,1
2019-10-01,application.bash,2,1,1
2019-10-01,application.cmd,2,1,1
2019-10-01,Globals.kt,2,1,1
2019-08-01,build.gradle.kts,4,2,2
2019-08-01,Globals.kt,19,9,10
2019-08-01,docinfo-footer.html,3,2,1
2019-08-01,gradle-wrapper.properties,2,1,1
2019-08-01,lombok.config,1,0,1
2019-08-01,lombok.config,4,0,4
2019-08-01,lombok.config,1,0,1
2019-08-01,build.gradle.kts,3,2,1
2019-08-01,lombok.config,4,0,4
2019-08-01,lombok.config,1,0,1
2019-08-01,application.yml,2,1,1
2019-08-01,head.hbs,2,1,1
2019-08-01,tail.hbs,15,10,5
2019-08-01,lombok.config,3,0,3
2019-08-01,docker-compose-haproxy-dev.yml,18,9,9
2019-08-01,docker-compose-haproxy.yml,20,10,10
2019-08-01,docker-compose-nginx-dev.yml,20,10,10
2019-08-01,docker-compose-nginx.yml,20,10,10
2019-08-01,docker-compose.yml,20,10,10
2019-08-01,lombok.config,2,0,2
2019-08-01,lombok.config,2,0,2
2019-08-01,docker-compose.yml,6,4,2
2019-08-01,lombok.config,2,0,2
2019-08-01,lombok.config,2,0,2
2019-08-01,lombok.config,2,0,2
2019-08-01,lombok.config,1,0,1
2019-08-01,lombok.config,2,0,2
2019-08-01,lombok.config,1,0,1
2019-08-01,lombok.config,2,0,2
2019-08-01,application-h2.bash,2,1,1
2019-08-01,application-h2.cmd,2,1,1
2019-08-01,application.bash,2,1,1
2019-08-01,application.cmd,2,1,1
2019-08-01,Globals.kt,5,2,3
2019-08-01,head.hbs,15,15,0
2019-08-01,tail.hbs,18,18,0
2019-08-01,Globals.kt,47,0,47
2019-08-01,gradle-wrapper.properties,5,0,5
2019-08-01,application-h2.bash,135,0,135
2019-08-01,application-h2.cmd,152,0,152
2019-08-01,application.bash,162,0,162
2019-08-01,application.cmd,178,0,178
2019-07-01,Globals.kt,4,2,2
2019-07-01,gradle-wrapper.properties,2,1,1
2019-07-01,application-h2.bash,2,1,1
2019-07-01,application-h2.cmd,2,1,1
2019-07-01,application.bash,2,1,1
2019-07-01,application.cmd,2,1,1
2019-06-01,.travis.yml,90,75,15
2019-06-01,build.gradle.kts,53,19,34
2019-06-01,Globals.kt,41,19,22
2019-06-01,gradle-wrapper.properties,2,1,1
2019-06-01,build.gradle.kts,2,1,1
2019-06-01,build.gradle.kts,4,1,3
2019-06-01,build.gradle.kts,19,6,13
2019-06-01,Dockerfile,9,5,4
2019-06-01,Dockerfile,4,3,1
2019-06-01,Dockerfile,3,2,1
2019-06-01,application-h2.bash,2,1,1
2019-06-01,application-h2.cmd,2,1,1
2019-06-01,application.bash,2,1,1
2019-06-01,application.cmd,2,1,1
2019-06-01,settings.gradle.kts,2,1,1
2019-06-01,Globals.kt,41,19,22
2019-06-01,Globals.kt,1,1,0
2019-06-01,build.gradle.kts,31,22,9
2019-06-01,Globals.kt,4,2,2
2019-06-01,FileItemReactiveRepository.java,9,7,2
2019-06-01,application.yml,3,3,0
2019-06-01,application.yml,3,3,0
2019-06-01,PropsAutoConfiguration.java,9,9,0
2019-06-01,AppProps.java,2,1,1
2019-06-01,DbProps.java,2,1,1
2019-06-01,FileItemsRestServiceProps.java,2,1,1
2019-06-01,application-h2.bash,2,1,1
2019-06-01,application-h2.cmd,2,1,1
2019-06-01,application.bash,2,1,1
2019-06-01,application.cmd,2,1,1
2019-06-01,.travis.yml,163,87,76
2019-06-01,Globals.kt,4,2,2
2019-06-01,application-h2.bash,2,1,1
2019-06-01,application-h2.cmd,2,1,1
2019-06-01,application.bash,2,1,1
2019-06-01,application.cmd,2,1,1
2019-06-01,.travis.yml,209,113,96
2019-06-01,Globals.kt,12,6,6
2019-06-01,repo-config.gradle.kts,7,7,0
2019-06-01,subprojects.gradle.kts,35,35,0
2019-06-01,gradle-wrapper.properties,2,1,1
2019-06-01,head.hbs,2,1,1
2019-06-01,application-h2.bash,2,1,1
2019-06-01,application-h2.cmd,2,1,1
2019-06-01,application.bash,2,1,1
2019-06-01,application.cmd,2,1,1
2019-06-01,settings.gradle.kts,5,3,2
2019-06-01,Globals.kt,46,46,0
2019-06-01,gradle-wrapper.properties,0,0,0
2019-06-01,application-h2.bash,0,0,0
2019-06-01,application-h2.cmd,0,0,0
2019-06-01,application.bash,0,0,0
2019-06-01,application.cmd,0,0,0
2019-06-01,Globals.kt,0,0,0
2019-06-01,gradle-wrapper.properties,5,5,0
2019-06-01,application-h2.bash,135,135,0
2019-06-01,application-h2.cmd,152,152,0
2019-06-01,application.bash,162,162,0
2019-06-01,application.cmd,178,178,0
2019-06-01,Globals.kt,2,1,1
2019-06-01,Globals.kt,2,1,1
2019-06-01,gradle-wrapper.properties,2,1,1
2019-06-01,Globals.kt,14,7,7
2019-06-01,gradle-wrapper.properties,2,1,1
2019-06-01,Globals.kt,8,4,4
2019-06-01,application-h2.bash,2,1,1
2019-06-01,application-h2.cmd,2,1,1
2019-06-01,application.bash,2,1,1
2019-06-01,application.cmd,2,1,1
2019-05-01,.travis.yml,56,29,27
2019-05-01,Globals.kt,2,1,1
2019-05-01,Globals.kt,2,1,1
2019-05-01,.gradletasknamecache,829,829,0
2019-05-01,.travis.yml,80,51,29
2019-05-01,build.gradle.kts,9,5,4
2019-05-01,Globals.kt,8,4,4
2019-05-01,Dockerfile,20,20,0
2019-05-01,Dockerfile,20,20,0
2019-05-01,lombok.config,2,2,0
2019-05-01,Globals.kt,2,1,1
2019-05-01,lombok.config,4,4,0
2019-05-01,CorsWebFluxCfg.java,8,4,4
2019-05-01,JacksonCfg.java,18,0,18
2019-05-01,FileItem.java,36,11,25
2019-05-01,FileItemReactiveRepository.java,41,20,21
2019-05-01,AbstractAuditEntity.java,11,6,5
2019-05-01,FileItemsHandler.java,43,22,21
2019-05-01,FileItemsRoutes.java,18,13,5
2019-05-01,lombok.config,4,4,0
